row,column,cor,p
Otu000844,Otu001177,1,0
Otu000918,Otu001177,1,0
Otu000950,Otu001177,1,0
Otu001088,Otu001177,1,0
Otu000396,Otu001184,1,0
Otu000603,Otu001184,1,0
Otu000435,Otu001202,1,0
Otu000445,Otu001205,1,0
Otu000481,Otu001205,1,0
Otu000574,Otu001205,1,0
Otu001135,Otu001205,1,0
Otu000865,Otu001206,1,0
Otu000274,Otu001230,1,0
Otu000404,Otu001230,1,0
Otu000448,Otu001230,1,0
Otu000463,Otu001230,1,0
Otu000549,Otu001230,1,0
Otu000630,Otu001230,1,0
Otu000662,Otu001230,1,0
Otu000716,Otu001230,1,0
Otu000820,Otu001230,1,0
Otu000857,Otu001230,1,0
Otu000926,Otu001230,1,0
Otu000995,Otu001230,1,0
Otu000432,Otu001246,1,0
Otu000316,Otu001251,1,0
Otu000525,Otu001251,1,0
Otu000547,Otu001251,1,0
Otu000599,Otu001251,1,0
Otu000663,Otu001251,1,0
Otu000752,Otu001251,1,0
Otu000895,Otu001251,1,0
Otu001107,Otu001251,1,0
Otu000316,Otu001284,1,0
Otu000525,Otu001284,1,0
Otu000547,Otu001284,1,0
Otu000599,Otu001284,1,0
Otu000663,Otu001284,1,0
Otu000752,Otu001284,1,0
Otu000895,Otu001284,1,0
Otu001107,Otu001284,1,0
Otu001251,Otu001284,1,0
Otu000445,Otu001311,1,0
Otu000481,Otu001311,1,0
Otu000574,Otu001311,1,0
Otu001135,Otu001311,1,0
Otu001205,Otu001311,1,0
Otu000428,Otu001333,1,0
Otu000316,Otu001363,1,0
Otu000525,Otu001363,1,0
Otu000547,Otu001363,1,0
Otu000599,Otu001363,1,0
Otu000663,Otu001363,1,0
Otu000752,Otu001363,1,0
Otu000895,Otu001363,1,0
Otu001107,Otu001363,1,0
Otu001251,Otu001363,1,0
Otu001284,Otu001363,1,0
Otu000403,Otu001367,1,0
Otu000514,Otu001367,1,0
Otu000538,Otu001368,1,0
Otu000686,Otu001368,1,0
Otu000844,Otu001368,1,0
Otu000918,Otu001368,1,0
Otu000950,Otu001368,1,0
Otu001088,Otu001368,1,0
Otu001177,Otu001368,1,0
Otu000764,Otu001376,1,0
Otu000864,Otu001376,1,0
Otu000274,Otu001387,1,0
Otu000404,Otu001387,1,0
Otu000448,Otu001387,1,0
Otu000463,Otu001387,1,0
Otu000549,Otu001387,1,0
Otu000630,Otu001387,1,0
Otu000662,Otu001387,1,0
Otu000716,Otu001387,1,0
Otu000820,Otu001387,1,0
Otu000857,Otu001387,1,0
Otu000926,Otu001387,1,0
Otu000995,Otu001387,1,0
Otu001230,Otu001387,1,0
Otu000764,Otu001390,1,0
Otu000864,Otu001390,1,0
Otu001376,Otu001390,1,0
Otu000316,Otu001415,1,0
Otu000525,Otu001415,1,0
Otu000547,Otu001415,1,0
Otu000599,Otu001415,1,0
Otu000663,Otu001415,1,0
Otu000752,Otu001415,1,0
Otu000895,Otu001415,1,0
Otu001107,Otu001415,1,0
Otu001251,Otu001415,1,0
Otu001284,Otu001415,1,0
Otu001363,Otu001415,1,0
Otu000586,Otu001417,1,0
Otu000600,Otu001417,1,0
Otu000620,Otu001417,1,0
Otu000675,Otu001417,1,0
Otu000711,Otu001417,1,0
Otu000772,Otu001417,1,0
Otu000775,Otu001417,1,0
Otu000840,Otu001417,1,0
Otu000953,Otu001417,1,0
Otu001074,Otu001417,1,0
Otu001103,Otu001417,1,0
Otu001132,Otu001417,1,0
Otu000492,Otu001423,1,0
Otu000832,Otu001423,1,0
Otu001018,Otu001423,1,0
Otu000316,Otu001434,1,0
Otu000525,Otu001434,1,0
Otu000547,Otu001434,1,0
Otu000599,Otu001434,1,0
Otu000663,Otu001434,1,0
Otu000752,Otu001434,1,0
Otu000895,Otu001434,1,0
Otu001107,Otu001434,1,0
Otu001251,Otu001434,1,0
Otu001284,Otu001434,1,0
Otu001363,Otu001434,1,0
Otu001415,Otu001434,1,0
Otu000575,Otu001440,1,0
Otu000316,Otu001468,1,0
Otu000525,Otu001468,1,0
Otu000547,Otu001468,1,0
Otu000599,Otu001468,1,0
Otu000663,Otu001468,1,0
Otu000752,Otu001468,1,0
Otu000895,Otu001468,1,0
Otu001107,Otu001468,1,0
Otu001251,Otu001468,1,0
Otu001284,Otu001468,1,0
Otu001363,Otu001468,1,0
Otu001415,Otu001468,1,0
Otu001434,Otu001468,1,0
Otu000538,Otu001472,1,0
Otu000686,Otu001472,1,0
Otu000844,Otu001472,1,0
Otu000918,Otu001472,1,0
Otu000950,Otu001472,1,0
Otu001088,Otu001472,1,0
Otu001177,Otu001472,1,0
Otu001368,Otu001472,1,0
Otu000492,Otu001473,1,0
Otu000832,Otu001473,1,0
Otu001018,Otu001473,1,0
Otu001423,Otu001473,1,0
Otu000586,Otu001533,1,0
Otu000600,Otu001533,1,0
Otu000620,Otu001533,1,0
Otu000675,Otu001533,1,0
Otu000711,Otu001533,1,0
Otu000772,Otu001533,1,0
Otu000775,Otu001533,1,0
Otu000840,Otu001533,1,0
Otu000953,Otu001533,1,0
Otu001074,Otu001533,1,0
Otu001103,Otu001533,1,0
Otu001132,Otu001533,1,0
Otu001417,Otu001533,1,0
Otu000316,Otu001618,1,0
Otu000525,Otu001618,1,0
Otu000547,Otu001618,1,0
Otu000599,Otu001618,1,0
Otu000663,Otu001618,1,0
Otu000752,Otu001618,1,0
Otu000895,Otu001618,1,0
Otu001107,Otu001618,1,0
